0,Children age present limited cognitive development restricted short attention span allow classical taste sensitivity measures developed adults The aim study develop validate age-appropriate protocol sensitivity testing five basic tastes pre-schoolers One hundred children aged years age months SD performed comparison task consisting water `` magic water '' affect In order age group task require verbal responses ranging g/l ) sour acid g/l ) g/l ) chloride g/l ) hydrochloride g/l ) water dilutions tested four levels 20 children per taste participated sensitivity scores derived two following criterion taste classified child 's criterion `` magic water '' individual Results show protocol highly children performed task consistently children 's dependent cognitive level differences thus validating protocol study On average children sensitive sour stimuli selected dilutions equivalent across tastes sensitivity distributions children obtained across taste modalities scoring criteria The key elements age-appropriate protocol pre-schoolers discussed ( C ) 2017 Elsevier Ltd All rights reserved
1,In paper parallel algorithm nonlinear dynamic analysis three-dimensional concrete frame structures based processing unit proposed integration performed using method nonlinear implicit dynamic analysis strategies presented parallel GPU introduced solution equilibrium equations time step The frames simulated using fiber beam model nonlinear behaviors concrete The parallel finite element program developed utilizing The accuracy parallel program including single precision double precision verified comparison The numerical results demonstrated proposed algorithm take full advantage parallel architecture GPU achieve goal computation compared
2,Background : Infants < 32 weeks ' gestation exposed topical iodine avoidance recommended pregnancy feeding contrast media topical iodine frequently used many preterm neonates Aim : To determine whether thyrotropin levels preterm infants affected exposure topical iodine and/or use iodinated contrast media Design : Infants < 32 weeks ' gestation recruited neonatal iodinated contrast media topical iodine levels thyrotropin thyroxine measured postnatal days 7 14 28 equivalent 36 weeks ' gestation Results : One hundred infants exposed topical media 48 infants unexposed No infants treated three infants group ) transient Mean thyrotropin levels significantly higher postnatal days 7 14 28 infants exposed topical iodine prior caesarean section compared unexposed infants relationship adjustment Conclusions : In context study neonatal thyroid dysfunction seen following exposure iodine via caesarean section via exposure contrast media
3,Objective : We evaluated whether association Adult Disorder Seasonal Disorder mediated circadian rhythm Method : Data Study Depression Anxiety used Two groups clinically significant ADHD symptoms ( N = No ADHD symptoms ( N = Sleep parameters times sleep sleep duration Questionnaire We identified prevalence probable SAD SAD using Seasonal Assessment Questionnaire significant ADHD symptoms identified using T Adult ADHD Results : The prevalence probable SAD estimated ADHD group ( vs No ADHD group ) probable 125 % ADHD group ( vs No ADHD group ) analyses showed consistently significant associations ADHD symptoms probable SAD even adjustment current depression anxiety age sex education use = p < 0001 ) self-reported sleep onset important significant relationship ADHD symptoms probable SAD even confounders model B = p 0001 ) Conclusion : Both seasonal circadian rhythm significantly associated ADHD symptoms sleep onset time ADHD may increase SAD symptoms patients SAD possible ADHD delayed sleep onset time may reduce symptom severity complex patients ( C ) 2016 Elsevier Ltd All rights reserved
4,( HT ) metabolic syndrome major problems Africa The role sex hormones cardiovascular profile black Africans South Africa studied Our objective study association sex hormones ambulatory blood pressure heart rate ( HR ) black white South Africans The ambulatory blood pressure measurements performed blood samples taken 00 00 hours A total 80 black white South African teachers 25 65 years age similar Activity Ambulatory Blood Africans study included As result vulnerable cardiovascular profile observed Africans compared In African group low testosterone explained variance systolic blood pressure diastolic blood pressure HR whereas group T explained variance HR In African males associations blood pressure T ( SBP : P = DBP : P = T ( SBP : P < DBP : P < HR ( P < 001 ) observed Ambulatory HR predicted prediabetic state Africans In conclusion low T levels may predispose result cardiovascular function African men The exists prediabetic state HR blood pressure responses may predispose result low T levels African men
5,areas The security issues wireless sensor networks important secure links nodes challenging problem They vulnerable security attacks wired networks In order protect sensitive data protected using secret keys communicating nodes Key management essential many security services authentication The symmetric asymmetric key cryptography schemes used solve problem key cryptography increases network security increases computational memory energy overhead key cryptography provides less security efficient key management scheme server schemes use key management server Because usually suitable sensor networks In paper proposed Mobile Based Key In MAKD Mobile used public keys shared keys Each sensor node different symmetric keys communication security achieved data authentication keys Simulation results show MAKD scalable less memory overhead
6,BACKGROUND : The purpose work determine safety feasibility noninvasive support children acute respiratory failure ground transport METHODS : This prospective observational clinical study pediatric transport unit pediatric hospital We included subjects ARF transported 2010 March 2013 A specific noninvasive support protocol used cases used oronasal tube RESULTS : A total children diagnosed ARF transported subjects transported invasive ventilation 50 NIV oxygen The median age 34 months ( interquartile range months ) ARF mainly due ( 15 % ) ( 15 % ) time defined time hospital lower noninvasive support invasive ventilation 48 min vs 83 min P < 001 ) transport time 35 min ( interquartile range ventilation oronasal interface use study period ( P < 001 NIV P < One complication observed : One subject required transport subjects transferred receiving noninvasive support recorded receptor 21 % subjects NIV CONCLUSIONS : NIV seems safe technique pediatric ground transport Careful patient selection adequate material transport team crucial minimize risks patient
7,With rapid development science technology network popularization computer network security becomes social problem Based analysis main factors influencing computer network security risk evaluation index system computer network security established The analytic process used calculate weight index Through common criteria determine clustering computer network security risk whitenization weight function computer network security risk evaluation model whitenization clustering coefficient clustering vector computer network security risk evaluation model evaluation results finally obtained The method scientific reasonable combining evaluation objective calculation
8,A cell highly organized dynamic biological myriad proteins Because actions depend coordination space time protein functions extended test tube intracellular space cell Accordingly modern technological developments advances enzymology towards analyzing protein functions within single cells We discuss fluorescence single-cell microscopy employed identify subcellular proteins detect reversible interactions measure protein activity kinetics cells fluorescence single-cell microscopy recently recognized primary technique enzymology outcomes studying intracellular protein functions projected useful We anticipate review would many investigators study proteins interest beyond conventional boundary specific disciplines This article part Protein ( C ) 2015 Elsevier BV All rights reserved
9,We study association among different sources individual differences personality cognitive ability risk attitudes trust behavior experimental binary trust game sample undergraduate students The game involves two players player 1 player 2 In first stage P1 whether trust P2 decide secure payoff players If P1 P2 latter symmetric payoff double secure alternative P1 asymmetric payoff P2 case makes P1 worse Before main experiment obtained participants scores ( AR ) risk attitudes basic personality characteristics specific traits psychopathy impulsivity During main experiment measured Heart ( HR ) Activity variation account emotional arousal caused feedback processes Our main findings indicate one hand P1 trust behavior positive emotionality specifically facet In addition impulsivity facet positive also favors trust behavior No relation behavior found either major personality aspects risk attitudes The physiological results show participants scoring high psychopathy exhibit increased reduced HR moment asked decide whether trust P2 find AR ability mainly low disagreeable disinhibition favor reciprocal behavior Specifically lack reciprocity significantly relates psychopathic highly impulsive personality Thus present study suggests personality characteristics would play significant role different behaviors underlying cooperation emotionality relevant cooperation low disagreeable disinhibition maintaining
